temp_c,temp_max_c,temp_min_c,rain_mm,wind_kmh,wind_gust_kmh,humidity,conditions,venue,date_str,lat,lon
10.4,12.9,7.8,0.543,30.4,0.0,77.6,"Rain, Partially cloudy",Docklands,2012-07-14,-37.8165,144.9475
8.5,12.3,5.1,0.021,9.4,14.0,88.6,"Rain, Partially cloudy",Docklands,2014-07-20,-37.8165,144.9475
8.6,14.9,4.0,0.006,13.0,25.2,64.8,"Rain, Partially cloudy",Adelaide Oval,2018-06-22,-34.9156,138.5961
10.3,12.3,9.1,8.507,34.3,0.0,81.8,"Rain, Partially cloudy",Docklands,2012-05-13,-37.8165,144.9475
11.1,14.6,8.0,3.429,25.0,60.8,72.6,"Rain, Partially cloudy",Docklands,2022-07-17,-37.8165,144.9475
12.0,14.8,10.1,1.303,14.5,43.9,77.0,"Rain, Overcast",Docklands,2022-08-12,-37.8165,144.9475
12.0,21.5,6.3,0.003,20.4,25.2,75.8,Rain,Sydney Showground,2019-08-03,-33.8447,151.0697
9.4,11.8,7.1,0.0,13.2,32.8,87.9,Partially cloudy,M.C.G.,2022-07-02,-37.82,144.9834
15.5,17.3,14.3,13.271,16.7,24.8,94.3,"Rain, Overcast",Carrara,2022-07-02,-28.0067,153.3667
21.1,26.8,16.0,0.058,20.5,52.6,53.2,"Rain, Partially cloudy",Marvel Stadium,2019-04-21,-37.8165,144.9475
11.1,15.4,6.8,0.018,20.4,0.0,74.2,"Rain, Partially cloudy",M.C.G.,2013-05-19,-37.82,144.9834
14.3,18.7,8.4,0.308,22.3,31.3,76.5,"Rain, Partially cloudy",Perth Stadium,2020-08-23,-31.9512,115.8891
18.2,19.0,17.0,112.419,25.4,0.0,95.8,"Rain, Overcast",Gabba,2012-04-28,-27.4858,153.0381
16.4,19.6,13.9,4.208,29.9,36.4,81.7,"Rain, Partially cloudy",Sydney Showground,2018-04-28,-33.8447,151.0697
9.8,14.0,5.3,0.0,21.5,42.5,66.1,Partially cloudy,Docklands,2018-08-12,-37.8165,144.9475
5.2,12.0,0.8,0.833,23.4,37.1,89.8,"Rain, Partially cloudy",Mars Stadium,2017-08-19,-37.5622,143.8503
10.4,15.1,6.9,0.198,12.7,28.8,79.6,"Rain, Partially cloudy",Kardinia Park,2022-05-28,-38.1581,144.3547
16.0,17.8,14.6,0.199,13.1,34.6,77.6,"Rain, Overcast",M.C.G.,2017-04-29,-37.82,144.9834
13.2,17.8,5.5,0.006,30.0,50.0,49.5,"Rain, Partially cloudy",Adelaide Oval,2020-09-01,-34.9156,138.5961
13.2,16.0,10.1,0.642,24.1,40.3,85.5,"Rain, Partially cloudy",Adelaide Oval,2016-07-31,-34.9156,138.5961
10.3,14.0,6.7,0.026,12.8,0.0,85.1,"Rain, Partially cloudy",M.C.G.,2012-07-22,-37.82,144.9834
10.0,13.5,6.8,0.357,22.0,26.6,74.4,"Rain, Partially cloudy",Bellerive Oval,2023-08-06,-42.8775,147.3764
15.0,22.0,11.5,0.0,47.2,62.3,39.6,Partially cloudy,S.C.G.,2014-06-28,-33.8917,151.2247
12.0,17.4,8.9,0.0,11.9,15.8,81.1,Partially cloudy,Docklands,2015-05-16,-37.8165,144.9475
14.9,19.4,12.4,0.512,17.7,37.8,82.3,"Rain, Partially cloudy",Perth Stadium,2023-07-09,-31.9512,115.8891
11.9,16.0,8.8,0.2,16.7,32.8,77.6,Rain,Adelaide Oval,2025-09-04,-34.9156,138.5961
14.4,23.5,7.8,0.004,12.9,17.6,77.7,"Rain, Partially cloudy",M.C.G.,2022-04-25,-37.82,144.9834
10.6,17.1,3.4,0.0,16.6,23.4,74.6,Partially cloudy,Sydney Showground,2015-08-09,-33.8447,151.0697
16.4,22.8,11.0,0.0,22.5,54.0,54.3,Partially cloudy,Perth Stadium,2021-09-25,-31.9512,115.8891
11.5,14.8,9.0,0.08,14.9,46.1,67.6,"Rain, Partially cloudy",M.C.G.,2017-05-07,-37.82,144.9834
23.9,30.4,17.7,0.0,32.3,32.8,74.0,Clear,Carrara,2020-03-21,-28.0067,153.3667
11.8,16.5,7.2,1.977,30.7,65.9,58.4,"Rain, Partially cloudy",Perth Stadium,2024-07-06,-31.9512,115.8891
17.8,20.1,16.8,9.952,33.2,39.2,91.4,"Rain, Overcast",Carrara,2025-05-31,-28.0067,153.3667
11.2,14.4,8.3,0.691,12.9,35.6,74.5,"Rain, Partially cloudy",Docklands,2023-05-20,-37.8165,144.9475
9.1,16.5,4.0,0.085,9.3,19.4,72.4,"Rain, Partially cloudy",Kardinia Park,2025-08-03,-38.1581,144.3547
10.1,17.7,3.7,0.0,12.8,27.0,79.8,Partially cloudy,Perth Stadium,2022-06-05,-31.9512,115.8891
14.8,22.2,8.0,0.0,20.4,0.0,60.5,Clear,Carrara,2013-05-18,-28.0067,153.3667
15.5,20.3,10.8,4.326,32.4,0.0,61.1,"Rain, Partially cloudy",Subiaco,2013-06-23,-31.9444,115.8308
11.4,19.1,6.3,0.152,13.3,42.1,76.1,"Rain, Partially cloudy",Marvel Stadium,2019-07-06,-37.8165,144.9475
9.8,12.6,6.8,1.97,24.2,58.3,75.2,"Rain, Partially cloudy",Marvel Stadium,2019-07-14,-37.8165,144.9475
10.3,13.1,7.3,4.388,26.1,65.5,65.7,"Rain, Partially cloudy",M.C.G.,2018-08-18,-37.82,144.9834
