date,year,round,home_team,away_team,bet_side,bet_team,model_prob,market_prob,edge,odds,ev_per_dollar,bet_amount,bet_fraction,won,profit,bankroll
2024-03-07 19:30:00,2024,0,Sydney,Melbourne,away,Melbourne,0.5548128942453281,0.45097999999999994,0.10383289424532816,2.2173932325158545,0.23023835701212503,47.281016285986,0.047281016285986,False,-47.281016285986,952.718983714014
2024-03-09 16:20:00,2024,0,Gold Coast,Richmond,away,Richmond,0.5103770713537279,0.4153233333333334,0.09505373802039452,2.407762626708508,0.22886683793444762,38.722043245415605,0.04064371961442845,False,-38.722043245415605,913.9969404685984
2024-03-14 19:30:00,2024,1,Carlton,Richmond,home,Carlton,0.7523276639326895,0.6228199999999999,0.12950766393268953,1.6056003339648697,0.20793754846133644,78.45697584821151,0.08583942940551562,True,47.513570775550605,961.510511244149
2024-03-15 19:40:00,2024,1,Collingwood,Sydney,away,Sydney,0.44888398311456557,0.39790000000000003,0.050983983114565534,2.513194269917064,0.12813265422107434,20.354440985612413,0.02116923397880979,True,30.800223466793746,992.3107347109428
2024-03-16 19:30:00,2024,1,Geelong,St Kilda,away,St Kilda,0.414711168955614,0.34693666666666656,0.06777450228894744,2.8823704614675116,0.19535122343832434,25.74534609749969,0.025944842877265895,False,-25.74534609749969,966.5653886134431
2024-03-17 16:00:00,2024,1,Port Adelaide,West Coast,away,West Coast,0.2010964537959964,0.10023666666666675,0.10085978712932964,9.97638921219779,1.0062164922616095,27.087006029955,0.028023976803899255,False,-27.087006029955,939.4783825834882
2024-03-22 19:40:00,2024,2,Adelaide,Geelong,away,Geelong,0.4845798743156451,0.3747333333333335,0.10984654098231161,2.6685643123999276,0.2931325591059728,41.26177523767978,0.043919877245299985,True,68.84792562785952,1008.3263082113476
2024-03-24 13:00:00,2024,2,Western Bulldogs,Gold Coast,home,Western Bulldogs,0.7047793204249378,0.5893033333333334,0.11547598709160445,1.6969189608068282,0.19595339201362816,70.87802580440884,0.07029274673011172,True,49.39624008764816,1057.722548298996
2024-03-29 19:30:00,2024,3,Fremantle,Adelaide,home,Fremantle,0.6911012553118818,0.5663633333333333,0.1247379219785485,1.76565102496042,0.2202436397928571,76.06489651744067,0.07191384606460968,True,58.23916598208674,1115.9617142810825
2024-03-30 16:20:00,2024,3,Essendon,St Kilda,away,St Kilda,0.6848261875092162,0.5598366666666666,0.12498952084254955,1.7862352710016614,0.22326069063455933,79.22259158340239,0.07099042070133978,False,-79.22259158340239,1036.7391226976802
2024-03-30 19:30:00,2024,3,Port Adelaide,Melbourne,away,Melbourne,0.49510054463250763,0.44272333333333347,0.052377211299174165,2.2587469977487813,0.1183068687724631,24.360208914029904,0.023496951528792165,True,30.663339835068243,1067.4024625327484
2024-04-01 15:20:00,2024,3,Hawthorn,Geelong,away,Geelong,0.7365488761076877,0.6409466666666666,0.09560220944102116,1.5601922156809722,0.1491578229717832,71.0521420547441,0.06656546574396177,True,39.80285688652628,1107.2053194192747
2024-04-06 13:30:00,2024,4,West Coast,Sydney,home,West Coast,0.1802115160289477,0.11281666666666666,0.06739484936228103,8.863938543359433,0.5973838028862257,21.027202865448217,0.018991240826477344,False,-21.027202865448217,1086.1781165538264
2024-04-06 16:20:00,2024,4,Fremantle,Carlton,home,Fremantle,0.5784216424308979,0.4602733333333333,0.11814830909756457,2.1726220651496937,0.2566916233054951,59.442174981909986,0.054725992059668126,False,-59.442174981909986,1026.7359415719163
2024-04-06 20:10:00,2024,4,Western Bulldogs,Geelong,home,Western Bulldogs,0.5619429177620777,0.4920933333333333,0.0698495844287444,2.0321348253718807,0.14194377305540495,35.300323634027556,0.03438111222636594,False,-35.300323634027556,991.4356179378888
2024-04-07 17:10:00,2024,4,Collingwood,Hawthorn,home,Collingwood,0.7572799911375586,0.7072399999999999,0.05003999113755875,1.4139471749335448,0.07075390410265087,42.36527320592981,0.04273123987016563,True,17.536985158882448,1008.9726030967712
2024-04-12 19:40:00,2024,5,Western Bulldogs,Essendon,home,Western Bulldogs,0.7680727286388811,0.6914,0.07667272863888108,1.4463407578825571,0.11089489244848294,62.67067611900861,0.06211335761412922,False,-62.67067611900861,946.3019269777626
2024-04-13 13:45:00,2024,5,Greater Western Sydney,St Kilda,home,Greater Western Sydney,0.7724646776858628,0.7004933333333334,0.07197134435252939,1.4275653349068274,0.10274379630431318,56.84900323418956,0.060074910146014605,True,24.30666310694557,970.6085900847082
