date,year,round,home_team,away_team,bet_side,bet_team,model_prob,market_prob,edge,odds,ev_per_dollar,bet_amount,bet_fraction,won,profit,bankroll,real_odds,test_year
2015-04-02 19:20:00,2015,1,Carlton,Richmond,home,Carlton,0.5348837209302325,0.3627102582326463,0.1721734626975862,2.69,0.4388372093023254,64.91674693821382,0.06491674693821382,False,-64.91674693821382,935.0832530617862,True,2015
2015-04-04 13:40:00,2015,1,Melbourne,Gold Coast,away,Gold Coast,0.8333333333333334,0.7086947323884071,0.12463860094492629,1.377,0.14750000000000008,91.46205558794001,0.0978116710875332,False,-91.46205558794001,843.6211974738462,True,2015
2015-04-04 16:35:00,2015,1,Sydney,Essendon,home,Sydney,1.0,0.7376561570493755,0.2623438429506245,1.323,0.32299999999999995,84.36211974738463,0.1,True,27.24896467840523,870.8701621522514,True,2015
2015-04-04 19:20:00,2015,1,Brisbane Lions,Collingwood,away,Collingwood,0.4651162790697675,0.34101382488479265,0.12410245418497484,2.86,0.330232558139535,38.65452707727549,0.04438609652413105,True,71.89742036373241,942.7675825159838,True,2015
2015-04-04 19:20:00,2015,1,Western Bulldogs,West Coast,away,West Coast,0.8333333333333334,0.621536979041195,0.2117963542921384,1.571,0.3091666666666667,94.27675825159838,0.1,False,-94.27675825159838,848.4908242643854,True,2015
2015-04-05 13:10:00,2015,1,St Kilda,Greater Western Sydney,home,St Kilda,0.5348837209302325,0.2574451410658308,0.27743857986440174,3.79,1.027209302325581,78.09835731382407,0.0920438442944069,False,-78.09835731382407,770.3924669505614,True,2015
2015-04-05 18:40:00,2015,1,Fremantle,Port Adelaide,home,Fremantle,0.6875,0.5776444111027756,0.10985558889722435,1.689,0.16118750000000004,45.05719730282787,0.058486030478955016,True,31.044408941648406,801.4368758922097,True,2015
2015-04-10 20:10:00,2015,2,West Coast,Carlton,home,West Coast,0.8333333333333334,0.6315538608198283,0.20177947251350503,1.546,0.28833333333333344,80.14368758922097,0.1,True,43.758453423714656,845.1953293159244,True,2015
2015-04-11 14:10:00,2015,2,Greater Western Sydney,Melbourne,home,Greater Western Sydney,0.8333333333333334,0.6737269040108156,0.15960642932251778,1.448,0.20666666666666667,84.51953293159244,0.1,True,37.864750753353405,883.0600800692778,True,2015
2015-04-11 16:35:00,2015,2,Collingwood,Adelaide,away,Adelaide,0.8333333333333334,0.6922908932081241,0.14104244012520928,1.409,0.17416666666666675,88.30600800692778,0.1,True,36.11715727483347,919.1772373441113,True,2015
2015-04-11 19:40:00,2015,2,Port Adelaide,Sydney,away,Sydney,0.4651162790697675,0.36666666666666664,0.09844961240310085,2.66,0.23720930232558157,32.83695650360725,0.03572429251891288,True,54.509347795988035,973.6865851400993,True,2015
2015-04-12 13:10:00,2015,2,Geelong,Fremantle,home,Geelong,0.5348837209302325,0.40019665683382494,0.13468706409640757,2.44,0.30511627906976735,51.577713166336,0.05297157622739017,False,-51.577713166336,922.1088719737633,True,2015
2015-04-12 16:40:00,2015,2,North Melbourne,Brisbane Lions,away,Brisbane Lions,0.27083333333333337,0.15060951631930788,0.12022381701402549,6.48,0.7550000000000004,31.760592989972245,0.034443430656934323,False,-31.760592989972245,890.348278983791,True,2015
2015-04-18 14:10:00,2015,3,Adelaide,Melbourne,home,Adelaide,1.0,0.9001107828655833,0.09988921713441667,1.082,0.08200000000000007,89.0348278983791,0.1,True,7.300855887667093,897.6491348714582,True,2015
2015-04-18 16:35:00,2015,3,Sydney,Greater Western Sydney,home,Sydney,0.934135328311775,0.8133748055987559,0.12076052271301918,1.2,0.12096239397413,89.76491348714582,0.1,True,17.95298269742916,915.6021175688874,True,2015
2015-04-18 19:20:00,2015,3,Brisbane Lions,Richmond,home,Brisbane Lions,0.5,0.3460111317254174,0.15398886827458258,2.82,0.4099999999999999,51.56550387407195,0.05631868131868131,False,-51.56550387407195,864.0366136948154,True,2015
2015-04-19 13:10:00,2015,3,Hawthorn,Western Bulldogs,home,Hawthorn,1.0,0.9203606311044328,0.07963936889556722,1.06,0.06000000000000005,86.40366136948154,0.1,True,5.184219682168897,869.2208333769843,True,2015
2015-04-19 15:20:00,2015,3,Geelong,Gold Coast,away,Gold Coast,0.27083333333333337,0.19435082651259833,0.07648250682073504,5.02,0.3595833333333335,19.437644568934957,0.02236214759535656,False,-19.437644568934957,849.7831888080493,True,2015
2015-04-19 16:40:00,2015,3,West Coast,Fremantle,home,West Coast,0.5348837209302325,0.2208707914683589,0.31401292946187365,4.42,1.3641860465116276,84.7414012231065,0.09972120223038214,False,-84.7414012231065,765.0417875849428,True,2015
2015-04-24 19:50:00,2015,4,Richmond,Melbourne,home,Richmond,0.8333333333333334,0.7319525437361754,0.10138078959715802,1.333,0.11083333333333334,63.65775634934772,0.08320820820820822,False,-63.65775634934772,701.3840312355951,True,2015
2015-04-25 11:10:00,2015,4,St Kilda,Carlton,home,St Kilda,0.5348837209302325,0.29406761641505424,0.24081610451517826,3.32,0.7758139534883718,58.636154976993396,0.08360064153969524,False,-58.636154976993396,642.7478762586018,True,2015
2015-04-25 17:40:00,2015,4,Greater Western Sydney,Gold Coast,away,Gold Coast,0.40602598795799516,0.29484448231785254,0.11118150564014262,3.31,0.343946020140964,23.925386795801177,0.03722359525335108,False,-23.925386795801177,618.8224894628006,True,2015
2015-04-25 19:40:00,2015,4,Port Adelaide,Hawthorn,away,Hawthorn,0.8333333333333334,0.6234954260953298,0.20983790723800355,1.564,0.30333333333333345,61.882248946280065,0.1,False,-61.882248946280065,556.9402405165206,True,2015
2015-04-25 20:45:00,2015,4,Fremantle,Sydney,away,Sydney,0.4651162790697675,0.3934947419907068,0.07162153707906072,2.48,0.15348837209302335,14.439839673982709,0.02592708988057827,False,-14.439839673982709,542.5004008425378,True,2015
2015-04-26 13:10:00,2015,4,Brisbane Lions,West Coast,away,West Coast,1.0,0.6049473426402155,0.39505265735978445,1.613,0.613,54.25004008425378,0.1,True,33.25527457164757,575.7556754141854,True,2015
2015-04-26 15:20:00,2015,4,Geelong,North Melbourne,home,Geelong,0.7291666666666666,0.4223555888972243,0.30681107776944233,2.31,0.684375,57.575567541418536,0.1,False,-57.575567541418536,518.1801078727668,True,2015
2015-04-26 16:40:00,2015,4,Western Bulldogs,Adelaide,away,Adelaide,1.0,0.7383214568487727,0.2616785431512273,1.322,0.32200000000000006,51.818010787276684,0.1,False,-51.818010787276684,466.3620970854901,True,2015
2015-05-01 19:50:00,2015,5,Carlton,Collingwood,away,Collingwood,0.7333333333333334,0.6511627906976745,0.08217054263565893,1.5,0.10000000000000009,23.318104854274527,0.050000000000000044,True,11.659052427137263,478.0211495126274,True,2015
2015-05-02 14:10:00,2015,5,Sydney,Western Bulldogs,away,Western Bulldogs,0.27083333333333337,0.16572237960339944,0.10511095372993393,5.89,0.5952083333333335,14.546123297520202,0.03042987389229721,True,71.13054292487378,549.1516924375012,True,2015
