date,year,round,home_team,away_team,bet_side,bet_team,model_prob,market_prob,edge,odds,ev_per_dollar,bet_amount,bet_fraction,won,profit,bankroll,real_odds
2024-03-07 19:30:00,2024,0,Sydney,Melbourne,away,Melbourne,0.5979519166487711,0.4805194805194806,0.1174324361292905,2.0,0.19590383329754224,48.97595832438556,0.04897595832438556,False,-48.97595832438556,951.0240416756144,True
2024-03-09 19:30:00,2024,0,Greater Western Sydney,Collingwood,away,Collingwood,0.550218633634906,0.4545454545454546,0.09567317908945139,2.1,0.15545913063330263,33.60122062051381,0.035331620598477866,False,-33.60122062051381,917.4228210551006,True
2024-03-16 20:10:00,2024,1,Gold Coast,Adelaide,home,Gold Coast,0.6695063680642822,0.5663265306122449,0.10317983745203729,1.7,0.13816082570927973,45.26853374339625,0.049343152039028476,True,31.68797362037737,949.110794675478,True
2024-03-22 19:40:00,2024,2,Adelaide,Geelong,away,Geelong,0.43038211892987466,0.3212669683257918,0.10911515060408283,3.0,0.291146356789624,34.541268757433784,0.036393294598703,True,69.08253751486757,1018.1933321903456,True
2024-03-23 16:35:00,2024,2,Hawthorn,Melbourne,away,Melbourne,0.8326736000193267,0.7346938775510204,0.09797972246830622,1.3,0.0824756800251247,69.98015622453869,0.06872973335427057,True,20.99404686736161,1039.1873790577072,True
2024-03-29 19:30:00,2024,3,Fremantle,Adelaide,home,Fremantle,0.6491288115275984,0.5663265306122449,0.08280228091535347,1.7,0.1035189795969172,38.41986324644594,0.03697106414175614,True,26.89390427251216,1066.0812833302193,True
2024-03-30 19:30:00,2024,3,Port Adelaide,Melbourne,away,Melbourne,0.45119246961770765,0.3765281173594133,0.07466435225829438,2.55,0.15054079752515437,25.885278486963113,0.02428077379437974,True,40.12218165479282,1106.203464985012,True
2024-04-06 16:20:00,2024,4,Fremantle,Carlton,home,Fremantle,0.5466139548734164,0.40954773869346733,0.13706621617994902,2.35,0.28454279395252846,58.28930085311172,0.05269310999120897,False,-58.28930085311172,1047.9141641319004,True
2024-04-07 15:20:00,2024,4,Richmond,St Kilda,home,Richmond,0.4126632663428669,0.3317972350230415,0.0808660313198254,2.9,0.19672347239431387,27.12490962358058,0.025884667420304458,False,-27.12490962358058,1020.7892545083198,True
2024-04-13 19:30:00,2024,5,Gold Coast,Hawthorn,away,Hawthorn,0.35346317948124184,0.2758121249741361,0.07765105450710574,3.5,0.2371211281843465,24.205069966747082,0.02371211281843465,False,-24.205069966747082,996.5841845415728,True
2024-04-13 19:30:00,2024,5,Port Adelaide,Fremantle,away,Fremantle,0.3524043723422311,0.2495126705653021,0.102891701776929,3.85,0.3567568335175898,31.187562983400078,0.03129445908049033,False,-31.187562983400078,965.3966215581727,True
2024-04-19 19:40:00,2024,6,Adelaide,Essendon,home,Adelaide,0.7606371033136189,0.6787330316742082,0.08190407163941071,1.42,0.08010468670533877,46.03142495018448,0.047681361134130226,False,-46.03142495018448,919.3651966079882,True
2024-04-20 19:30:00,2024,6,Brisbane Lions,Geelong,home,Brisbane Lions,0.6747331281912521,0.6,0.07473312819125211,1.6,0.0795730051060034,30.48193811832052,0.03315541879416808,False,-30.48193811832052,888.8832584896677,True
2024-04-20 20:10:00,2024,6,West Coast,Fremantle,home,West Coast,0.243835149637676,0.1608391608391608,0.08299598879851519,6.0,0.4630108978260561,20.578131778792567,0.023150544891302804,True,102.89065889396284,991.7739173836305,True
2024-04-26 19:40:00,2024,7,Port Adelaide,St Kilda,away,St Kilda,0.3347795279865644,0.21328671328671325,0.12149281469985115,4.5,0.5065078759395398,35.88152145044424,0.036179133995681415,False,-35.88152145044424,955.8923959331863,True
2024-04-27 19:40:00,2024,7,Fremantle,Western Bulldogs,away,Western Bulldogs,0.6241416512231945,0.5324675324675325,0.091674118755662,1.8,0.12345497220175017,36.878021614936216,0.03857967881304693,False,-36.878021614936216,919.0143743182501,True
2024-05-04 19:30:00,2024,8,Melbourne,Geelong,home,Melbourne,0.5798208899344243,0.4573643410852713,0.12245654884915297,2.1,0.21762386886229101,45.454423563453474,0.04945997019597523,True,49.99986591979883,969.014240238049,True
2024-05-05 19:10:00,2024,8,Brisbane Lions,Gold Coast,home,Brisbane Lions,0.7640911166055169,0.6411483253588518,0.12294279124666507,1.5,0.1461366749082753,70.80425950357858,0.07306833745413766,True,35.40212975178929,1004.4163699898382,True
2024-05-10 19:10:00,2024,9,Geelong,Port Adelaide,away,Port Adelaide,0.34511801249596685,0.2409867172675522,0.10413129522841466,4.0,0.3804720499838675,31.84602961061571,0.031706004165322293,True,95.53808883184712,1099.9544588216854,True
2024-05-12 16:00:00,2024,9,Adelaide,Brisbane Lions,away,Brisbane Lions,0.5089216829312392,0.4274809160305344,0.08144076690070479,2.25,0.14507378659528813,31.91491168472657,0.029014757319057626,True,39.89363960590821,1139.8480984275936,True
2024-05-24 20:10:00,2024,11,Fremantle,Collingwood,away,Collingwood,0.4875109371930234,0.39999999999999997,0.08751093719302344,2.4,0.17002624926325616,34.60787444741046,0.03036183022558146,True,48.45102422637464,1188.2991226539682,True
2024-05-25 16:35:00,2024,11,Geelong,Greater Western Sydney,away,Greater Western Sydney,0.4029109829231676,0.3317972350230415,0.07111374790012615,2.9,0.16844185047718607,26.336750413190938,0.022163401378577117,True,50.03982578506278,1238.338948439031,True
2024-05-26 13:10:00,2024,11,Hawthorn,Brisbane Lions,away,Brisbane Lions,0.7643823385140761,0.6501182033096927,0.11426413520438339,1.48,0.13128586100083262,84.6752057586895,0.06837805260460032,False,-84.6752057586895,1153.6637426803413,True
2024-05-31 19:40:00,2024,12,Collingwood,Western Bulldogs,home,Collingwood,0.5525129222678402,0.4336734693877551,0.11883945288008513,2.22,0.2265786874346054,53.564675524058615,0.04643005890053389,False,-53.564675524058615,1100.0990671562827,True
2024-06-01 13:45:00,2024,12,Hawthorn,Adelaide,away,Adelaide,0.5560806114431708,0.4805194805194806,0.07556113092369016,2.0,0.11216122288634156,30.847114167093064,0.02804030572158539,False,-30.847114167093064,1069.2519529891897,True
2024-06-08 13:45:00,2024,13,Hawthorn,Greater Western Sydney,home,Hawthorn,0.5637726131989403,0.48927263212977506,0.07449998106916528,1.952,0.10048414096433156,28.215037807393003,0.026387642059961018,True,26.860715992638138,1096.112668981828,True
2024-06-09 15:20:00,2024,13,Sydney,Geelong,home,Sydney,0.8348741134454049,0.7400000000000001,0.09487411344540475,1.3,0.08533634747902635,77.94854299699686,0.07111362289918861,True,23.384562899099063,1119.497231880927,True
2024-06-14 19:40:00,2024,14,Brisbane Lions,St Kilda,away,St Kilda,0.2486391046585109,0.15426251691474968,0.09437658774376123,6.25,0.5539944041156931,29.533104851668675,0.026380685910271102,False,-29.533104851668675,1089.9641270292584,True
2024-06-22 13:45:00,2024,15,Port Adelaide,Brisbane Lions,away,Brisbane Lions,0.6375645929637808,0.5426356589147286,0.09492893404905212,1.77,0.12848932954589198,45.47037659450093,0.04171731478762727,True,35.012189977765715,1124.9763170070241,True
2024-06-29 13:45:00,2024,16,Sydney,Fremantle,away,Fremantle,0.30115425410313656,0.19999999999999998,0.10115425410313658,4.8,0.44554041969505553,32.97515923857286,0.02931186971677997,True,125.30560510657685,1250.281922113601,True
2024-06-29 19:30:00,2024,16,Geelong,Essendon,home,Geelong,0.5444577810261093,0.4177215189873418,0.12673626203876753,2.3,0.2522528963600513,60.651391561493845,0.048510172376932954,True,78.846809029942,1329.128731143543,True
2024-07-06 16:35:00,2024,17,Geelong,Hawthorn,home,Geelong,0.7181180401543397,0.6157635467980296,0.10235449335631008,1.56,0.1202641426407699,71.3600568349074,0.053689349393200844,True,39.961631827548146,1369.0903629710913,True
2024-07-07 13:10:00,2024,17,Melbourne,West Coast,home,Melbourne,0.8961798174293778,0.8219178082191781,0.07426200921019965,1.17,0.04853038639237198,97.70953576626454,0.0713682152829,True,16.610621080264963,1385.7009840513563,True
2024-07-07 16:10:00,2024,17,Brisbane Lions,Adelaide,away,Adelaide,0.3551073338093921,0.21328671328671325,0.14182062052267883,4.5,0.5979830021422644,59.18754532246572,0.042713071581590316,False,-59.18754532246572,1326.5134387288906,True
2024-07-13 13:45:00,2024,18,Hawthorn,Fremantle,home,Hawthorn,0.547840531779941,0.4712041884816754,0.07663634329826557,2.02,0.10663787419548076,34.67072872494755,0.026136733871441362,True,35.3641432994465,1361.8775820283372,True
2024-07-13 19:30:00,2024,18,Melbourne,Essendon,home,Melbourne,0.5061201978390963,0.38118811881188125,0.12493207902721509,2.5,0.26530049459774085,60.21779934894887,0.044216749099623476,True,90.32669902342332,1452.2042810517605,True
2024-07-14 13:10:00,2024,18,Gold Coast,Port Adelaide,home,Gold Coast,0.5987445518576822,0.5242668050869452,0.07447774677073693,1.833,0.09749876355513137,42.49343392317381,0.029261333599979403,True,35.39703045800378,1487.6013115097644,True
2024-07-21 13:10:00,2024,19,Brisbane Lions,Sydney,away,Sydney,0.5412822002891183,0.4675324675324676,0.07374973275665075,2.05,0.10962851059269252,38.82940860394084,0.02610202633159346,False,-38.82940860394084,1448.7719029058235,True
